#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cox6a1	Uqcc3	10090.ENSMUSP00000047661	10090.ENSMUSP00000093972	0	0	0.720	0	0.720
Cox6a1	mt-Cytb	10090.ENSMUSP00000047661	10090.ENSMUSP00000081003	0	0.317	0.720	0	0.800
Cox6a1	Uqcr10	10090.ENSMUSP00000047661	10090.ENSMUSP00000054856	0	0.401	0.720	0	0.825
Cox6a1	Ndufa4	10090.ENSMUSP00000047661	10090.ENSMUSP00000144932	0	0.125	0.800	0.126	0.833
Cox6a1	Uqcrq	10090.ENSMUSP00000047661	10090.ENSMUSP00000053145	0	0.445	0.720	0	0.837
Cox6a1	Cox7c	10090.ENSMUSP00000047661	10090.ENSMUSP00000115419	0	0.402	0.800	0	0.875
Cox6a1	Cox6c	10090.ENSMUSP00000047661	10090.ENSMUSP00000123609	0	0.511	0.720	0.336	0.901
Cox6a1	mt-Co3	10090.ENSMUSP00000047661	10090.ENSMUSP00000080997	0	0.559	0.800	0	0.908
Cox6a1	mt-Co1	10090.ENSMUSP00000047661	10090.ENSMUSP00000080993	0	0.453	0.800	0.229	0.908
Cox6a1	mt-Co2	10090.ENSMUSP00000047661	10090.ENSMUSP00000080994	0	0.460	0.800	0.375	0.926
Cox6a1	Cox6b1	10090.ENSMUSP00000047661	10090.ENSMUSP00000075150	0	0.502	0.800	0.727	0.970
Cox6a2	Ndufa11	10090.ENSMUSP00000033049	10090.ENSMUSP00000002452	0	0.404	0	0	0.404
Cox6a2	Ndufa2	10090.ENSMUSP00000033049	10090.ENSMUSP00000014438	0	0.404	0	0	0.404
Cox6a2	Ndufa1	10090.ENSMUSP00000033049	10090.ENSMUSP00000016571	0	0.404	0	0	0.404
Cox6a2	Uqcr11	10090.ENSMUSP00000033049	10090.ENSMUSP00000020372	0	0.873	0.540	0	0.939
Cox6a2	Uqcrb	10090.ENSMUSP00000033049	10090.ENSMUSP00000021993	0	0.879	0.540	0	0.942
Cox6a2	Ndufs6	10090.ENSMUSP00000033049	10090.ENSMUSP00000022097	0	0.404	0	0	0.404
Cox6a2	Ndufs4	10090.ENSMUSP00000033049	10090.ENSMUSP00000022286	0	0.404	0	0	0.404
Cox6a2	Ndufb9	10090.ENSMUSP00000033049	10090.ENSMUSP00000022980	0	0.404	0	0	0.404
Cox6a2	Ndufa6	10090.ENSMUSP00000033049	10090.ENSMUSP00000023085	0	0.404	0	0	0.404
Cox6a2	Ndufb4	10090.ENSMUSP00000033049	10090.ENSMUSP00000023514	0	0.404	0	0	0.404
Cox6a2	Ndufa5	10090.ENSMUSP00000033049	10090.ENSMUSP00000023851	0	0.404	0	0	0.404
Cox6a2	Cox8b	10090.ENSMUSP00000033049	10090.ENSMUSP00000026561	0	0.807	0.540	0	0.907
Cox6a2	Ndufc2	10090.ENSMUSP00000033049	10090.ENSMUSP00000032882	0	0.404	0	0	0.404
Cox6a2	mt-Nd3	10090.ENSMUSP00000033049	10090.ENSMUSP00000080998	0	0.404	0	0	0.404
Cox6a2	Ndufs7	10090.ENSMUSP00000033049	10090.ENSMUSP00000101003	0	0.404	0	0	0.404
Cox6a2	Ndufs5	10090.ENSMUSP00000033049	10090.ENSMUSP00000101813	0	0.404	0	0	0.404
Cox6a2	Ndufb7	10090.ENSMUSP00000033049	10090.ENSMUSP00000037341	0	0.404	0	0	0.404
Cox6a2	Ndufa8	10090.ENSMUSP00000033049	10090.ENSMUSP00000065352	0	0.404	0	0	0.404
Cox6a2	Ndufb1-ps	10090.ENSMUSP00000033049	10090.ENSMUSP00000159138	0	0.404	0	0	0.404
Cox6a2	Ndufa12	10090.ENSMUSP00000033049	10090.ENSMUSP00000136313	0	0.404	0	0	0.404
Cox6a2	mt-Nd2	10090.ENSMUSP00000033049	10090.ENSMUSP00000080992	0	0.404	0	0	0.404
Cox6a2	Ndufv1	10090.ENSMUSP00000033049	10090.ENSMUSP00000042967	0	0.404	0	0	0.404
Cox6a2	Ndufa3	10090.ENSMUSP00000033049	10090.ENSMUSP00000075953	0	0.404	0	0	0.404
Cox6a2	mt-Nd1	10090.ENSMUSP00000033049	10090.ENSMUSP00000080991	0	0.404	0	0	0.404
Cox6a2	Ndufb10	10090.ENSMUSP00000033049	10090.ENSMUSP00000043543	0	0.404	0	0	0.404
Cox6a2	mt-Nd4	10090.ENSMUSP00000033049	10090.ENSMUSP00000081000	0	0.404	0	0	0.404
Cox6a2	mt-Nd6	10090.ENSMUSP00000033049	10090.ENSMUSP00000081002	0	0.404	0	0	0.404
Cox6a2	Ndufab1	10090.ENSMUSP00000033049	10090.ENSMUSP00000033157	0	0.404	0	0	0.404
Cox6a2	Ndufs8	10090.ENSMUSP00000033049	10090.ENSMUSP00000158541	0	0.404	0	0	0.404
Cox6a2	Ndufb6	10090.ENSMUSP00000033049	10090.ENSMUSP00000092746	0	0.404	0	0	0.404
Cox6a2	mt-Nd5	10090.ENSMUSP00000033049	10090.ENSMUSP00000081001	0	0.404	0	0	0.404
Cox6a2	Ndufa4l2	10090.ENSMUSP00000033049	10090.ENSMUSP00000042185	0	0	0.540	0	0.540
Cox6a2	Uqcc3	10090.ENSMUSP00000033049	10090.ENSMUSP00000093972	0	0	0.540	0	0.540
Cox6a2	Cox8a	10090.ENSMUSP00000033049	10090.ENSMUSP00000040717	0	0.157	0.540	0.086	0.614
Cox6a2	Ndufa4	10090.ENSMUSP00000033049	10090.ENSMUSP00000144932	0	0.125	0.540	0.120	0.614
Cox6a2	Cox6b2	10090.ENSMUSP00000033049	10090.ENSMUSP00000138709	0	0.315	0.360	0.250	0.642
Cox6a2	Cox7a2	10090.ENSMUSP00000033049	10090.ENSMUSP00000034881	0	0.249	0.540	0.140	0.676
Cox6a2	Cox7a1	10090.ENSMUSP00000033049	10090.ENSMUSP00000096193	0	0.577	0.360	0.210	0.767
Cox6a2	mt-Cytb	10090.ENSMUSP00000033049	10090.ENSMUSP00000081003	0	0.865	0.540	0	0.935
Cox6a2	Cox7c	10090.ENSMUSP00000033049	10090.ENSMUSP00000115419	0	0.875	0.540	0	0.940
Cox6a2	Cox7b	10090.ENSMUSP00000033049	10090.ENSMUSP00000033582	0	0.863	0.540	0.120	0.940
Cox6a2	mt-Co2	10090.ENSMUSP00000033049	10090.ENSMUSP00000080994	0	0.887	0.540	0.111	0.949
